log_Teff,LogL_lsun,Age_gyr,Step,Log_g,Mass_msun,feh,Mass_input,Metallicity_input,Z_used,Age_input
3.7405344587906777,-0.1830454623596352,3.5,401.3593137412137,4.513716658126547,0.9470000000000001,0.02292599036680948,0.9470000000000001,0.0,0.022917651,3.5
3.740843667089539,-0.18058526245689915,3.5,401.75817677348783,4.512950873608939,0.9480000000000002,0.02292599031501633,0.9480000000000001,0.0,0.022917651,3.5
3.7411529432353197,-0.1781221010370792,3.5,402.16175758830076,4.512182398999007,0.9490000000000001,0.02292599025492503,0.9490000000000001,0.0,0.022917651,3.5
3.741462280721383,-0.17565582293347096,3.5,402.57016291380836,4.511411052038083,0.9500000000000001,0.022925990168543076,0.9500000000000001,0.0,0.022917651,3.5
3.7417715926425252,-0.17318500861919572,3.5,402.9839908299524,4.51063505296501,0.9510000000000002,0.022925989848376214,0.9510000000000001,0.0,0.022917651,3.5
3.7420809747093124,-0.17071110565864925,3.5,403.4027378409048,4.509856245873333,0.9520000000000001,0.022925989527684026,0.9520000000000001,0.0,0.022917651,3.5
3.742390427857229,-0.1682340728606511,3.5,403.8264695492966,4.509074593314413,0.9530000000000001,0.022925989206459527,0.9530000000000001,0.0,0.022917651,3.5
3.742700089326351,-0.16575215409318822,3.5,404.25578749013414,4.50828889670899,0.9540000000000002,0.02292598888239345,0.9540000000000001,0.0,0.022917651,3.5
3.743009853598199,-0.16326660958610015,3.5,404.6903604489086,4.507499987712662,0.9550000000000001,0.022925988557122468,0.9550000000000001,0.0,0.022917651,3.5
3.743319689669104,-0.16077779397809364,3.5,405.13013423707923,4.506708094958527,0.9560000000000001,0.022925988231161223,0.9560000000000001,0.0,0.022917651,3.5
3.7436295832199584,-0.15828457646528796,3.5,405.57565312802853,4.505912027395835,0.9570000000000001,0.02292598790521239,0.9570000000000001,0.0,0.022917651,3.5
3.7439395410307608,-0.15578742289563485,3.5,406.0267757043222,4.5051122790944165,0.9580000000000002,0.022925987579174894,0.9580000000000001,0.0,0.022917651,3.5
3.7442495718429405,-0.15328685898189373,3.5,406.4833278736572,4.504309412232258,0.9590000000000002,0.022925987252718702,0.9590000000000001,0.0,0.022917651,3.5
3.744559686252778,-0.15078174144552783,3.5,406.9458733736544,4.503502327852391,0.96,0.02292598692388029,0.96,0.0,0.022917651,3.5
3.7448698793308504,-0.1482723717426795,3.5,407.4143441015587,4.502691307239498,0.961,0.022925986593016468,0.961,0.0,0.022917651,3.5
3.745180144778027,-0.14575945061884377,3.5,407.88848605886005,4.5018770246592315,0.962,0.02292598626138867,0.962,0.0,0.022917651,3.5
3.7454905861128793,-0.14324161627143306,3.5,408.36887495692093,4.501058531332557,0.9630000000000001,0.0229259859303559,0.963,0.0,0.022917651,3.5
